,text,pre,truth
10,那些心事是张珈珈专辑《心事》中的歌曲，由北京合纵音乐文化发行,"[('那 些 心 事', '张 珈 珈', 6)]","[('那 些 心 事', '心 事', 7), ('那 些 心 事', '张 珈 珈', 6)]"
11,《文章四家冯骥才》是2011年文化艺术出版社出版的图书，作者是冯骥才,"[('文 章 四 家 冯 骥 才', '冯 骥 才', 11), ('文 章 四 家 冯 骥 才', '文 化 艺 术 出 版 社', 12)]","[('文 章 四 家 冯 骥 才', '冯 骥 才', 11)]"
12,《斯琴高丽的开心》是斯琴高丽在2016年1月19日发布的音乐专辑，在专辑中斯琴高丽不仅唱出她简单快乐美好的人生体验，更为专辑里的每一首歌定位并为其创作写真大片，未来一起踏入一个新的征程,[],"[('斯 琴 高 丽 的 开 心', '斯 琴 高 丽', 6)]"
13,《高拱论著四种》是1993年中华书局出版的图书，作者是高拱,"[('高 拱 论 著 四 种', '中 华 书 局', 12), ('高 拱 论 著 四 种', '高 拱', 11)]","[('高 拱 论 著 四 种', '中 华 书 局', 12), ('高 拱 论 著 四 种', '高 拱', 11)]"
14,《走近王文丽-语文让我如此美丽》是由王文丽编写，福建教育出版的一本书籍,"[('走 近 王 文 丽 - 语 文 让 我 如 此 美 丽', '王 文 丽', 11), ('走 近 王 文 丽 - 语 文 让 我 如 此 美 丽', '福 建 教 育', 12)]","[('走 近 王 文 丽 - 语 文 让 我 如 此 美 丽', '王 文 丽', 11), ('走 近 王 文 丽 - 语 文 让 我 如 此 美 丽', '福 建 教 育', 12)]"
15,本文原载于《邓小平与外国首脑及记者会谈录》，《邓小平与外国首脑及记者会谈录》编辑组编著，台海出版社出版,"[('邓 小 平 与 外 国 首 脑', '台 海 出 版 社', 12)]","[('邓 小 平 与 外 国 首 脑 及 记 者 会 谈 录', '台 海', 12), ('邓 小 平 与 外 国 首 脑 及 记 者 会 谈 录', '邓 小 平 与 外 国 首 脑 及 记 者 会 谈 录 》 编 辑 组', 11)]"
16,《 北京大学法学百科全书：经济法学》是2007年1月1日北京大学出版社出版的图书,"[('北 京 大 学 法 学 百 科 全 书 ： 经 济 法 学', '北 京 大', 12)]","[('北 京 大 学 法 学 百 科 全 书 ： 经 济 法 学', '北 京 大 学', 12)]"
17,《一辈子做女王》是2011年重庆出版社出版的图书，作者是女王,"[('一 辈 子 做 女 王', '重 庆 出 版 社', 12)]","[('一 辈 子 做 女 王', '重 庆 出 版 社', 12), ('一 辈 子 做 女 王', '女 王', 11)]"
18,《王晓明心情童话绘本·爱忘事的熊爷爷》是著名童书画家兼作家王晓明先生的作品精选集，收入《蛤蟆的香格里拉》《胖萝卜生病》《河马喝咖啡》《魔法糖》《虎斑馒头》《雪夜蜗牛》《爱忘事的熊爷爷》等作品,"[('爱 忘 事 的 熊 爷 爷', '王 晓 明', 11), ('雪 夜 蜗 牛', '王 晓 明', 11)]","[('王 晓 明 心 情 童 话 绘 本 · 爱 忘 事 的 熊 爷 爷', '王 晓 明', 11)]"
19,《魂兮归来·听杨雨讲屈原》是2013-年中华书局出版的图书，作者是杨雨,"[('魂 兮 归 来 · 听 杨 雨 讲 屈 原', '杨 雨', 11), ('魂 兮 归 来 · 听 杨 雨 讲 屈 原', '中 华 书 局', 12)]","[('魂 兮 归 来 · 听 杨 雨 讲 屈 原', '杨 雨', 11), ('魂 兮 归 来 · 听 杨 雨 讲 屈 原', '中 华 书 局', 12)]"
20,《拉辛戏剧选》是1985年上海译文出版社出版的图书，作者是拉辛,"[('拉 辛 戏 剧 选', '上 海 译 文 出 版 社', 12)]","[('拉 辛 戏 剧 选', '上 海 译 文 出 版 社', 12), ('拉 辛 戏 剧 选', '拉 辛', 11)]"
21,《董乐山文集（全四卷）》是2001年河北教育出版社出版的图书，作者是董乐山,"[('董 乐 山 文 集 （ 全 四 卷 ）', '河 北 教 育 出 版 社', 12)]","[('董 乐 山 文 集 （ 全 四 卷 ）', '董 乐 山', 11), ('董 乐 山 文 集 （ 全 四 卷 ）', '河 北 教 育 出 版 社', 12)]"
22,《云中岳武侠真品全集（第1辑）》是2004年陕西太白文艺出版社出版的图书，作者是云中岳,"[('云 中 岳 武 侠 真 品 全 集 （ 第 1 辑 ）', '陕 西 太 白 文 艺 出 版 社', 12)]","[('云 中 岳 武 侠 真 品 全 集 （ 第 1 辑 ）', '云 中 岳', 11), ('云 中 岳 武 侠 真 品 全 集 （ 第 1 辑 ）', '陕 西 太 白 文 艺', 12)]"
23,《不良》是当今流行乐坛著名歌手徐良为自己的粉丝所创作的一首歌曲，并收录在徐良首张个人专辑《不良少年》中，歌曲积极向上，告诉听众的是一种勇于追求梦想的精神，不想要别人对自己束缚,"[('不 良', '不 良 少 年', 7)]","[('不 良', '不 良 少 年', 7), ('不 良', '徐 良', 6), ('不 良', '徐 良', 8), ('不 良', '徐 良', 9)]"
24,在人物传记方面，李敖80岁时写的自传《李敖自传》（人民文学出版社2018年1月版），笔调幽默诙谐，内容嬉笑怒骂，读者既能从中了解李敖80年人生岁月的主要经历，也能体会他在特立独行、嬉笑怒骂、桀骜不驯和爱憎分明之外的勤奋、仗义、深情和勇敢,"[('李 敖 自 传', '人 民 文 学 出 版 社', 12)]","[('李 敖 自 传', '李 敖', 11)]"
25,邓大枫男，汉族，1969年10月生，江苏扬州人，省委党校大学学历，中共党员，现任琅琊区东门街道党工委副书记、办事处主任（主持街道全面工作），拟任琅琊区东门街道党工委书记,"[('苏', '汉 族', 3), ('邓 大 枫', '汉 族', 3), ('邓 大 枫', '江 苏 扬 州', 2)]","[('苏 扬', '江 苏 扬 州', 2), ('苏 扬', '汉 族', 3), ('苏 扬', '1969 年 10 月', 4)]"
26,《汪国真哲思短语》是1995年四川少年儿童出版社出版的图书，作者是汪国真,"[('汪 国 真 哲 思 短 语', '四 川 少 年 儿 童 出 版 社', 12)]","[('汪 国 真 哲 思 短 语', '四 川 少 年 儿 童 出 版 社', 12), ('汪 国 真 哲 思 短 语', '汪 国 真', 11)]"
27,《我乔布斯》是2012年立信会计出版社出版的图书，作者是乔布斯,"[('我 乔 布 斯', '立 信 会 计 出 版 社', 12)]","[('我 乔 布 斯', '乔 布 斯', 11), ('我 乔 布 斯', '立 信 会 计 出 版 社', 12)]"
28,《王光东自选集》作者是王光东，由作家书局在2011年出版,"[('王 光 东 自 选 集', '王 光 东', 11), ('王 光 东 自 选 集', '作 家 书 局', 12)]","[('家', '2011 年', 16), ('王 光 东 自 选 集', '王 光 东', 11), ('王 光 东 自 选 集', '作 家 书 局', 12)]"
29,蒙培元著《蒙培元讲孔子》2005年由北京大学出版社出版,"[('蒙 培 元 讲 孔 子', '北 京 大 学 出 版 社', 12), ('蒙 培 元 讲 孔 子', '蒙 培 元', 11)]","[('蒙 培 元 讲 孔 子', '北 京 大 学 出 版 社', 12), ('蒙 培 元 讲 孔 子', '蒙 培 元', 11)]"
30,《哈兹里特散文选》是2009年百花文艺出版社出版的图书，作者是英国作家哈兹里特,"[('哈 兹 里 特 散 文 选', '百 花 文 艺', 12)]","[('哈 兹 里 特 散 文 选', '哈 兹 里 特', 11), ('哈 兹 里 特 散 文 选', '百 花 文 艺 出 版 社', 12)]"
31,简介《斯琴高丽的开心》是斯琴高丽在2016年1月19日发布的音乐专辑，该专辑是一个充满态度、正能量的专辑,"[('斯 琴 高 丽 的 开 心', '斯 琴 高 丽', 6)]","[('斯 琴 高 丽 的 开 心', '斯 琴 高 丽', 6)]"
32,《西雅图酋长的宣言》是2007年河北教育出版社出版的图书，作者是西雅图酋长,"[('西 雅 图 酋 长 的 宣 言', '河 北 教 育 出 版 社', 12)]","[('西 雅 图 酋 长 的 宣 言', '河 北 教 育 出 版 社', 12), ('西 雅 图 酋 长 的 宣 言', '西 雅 图 酋 长', 11)]"
33,/原载1983年《江海学刊》第2期推荐阅读王瑶文选王瑶著孙玉石编选北京大学出版社王瑶与现代中国学术陈平原编北京大学出版社,"[('王 瑶', '中 国', 1)]","[('王 瑶 文 选', '王 瑶', 11)]"
34,《杜牧全集》是1997年上海古籍出版社出版的图书，作者是杜牧,"[('杜 牧 全 集', '上 海 古 籍 出 版 社', 12)]","[('杜 牧 全 集', '杜 牧', 11), ('杜 牧 全 集', '上 海 古 籍 出 版 社', 12)]"
35,《那多三国事件簿之天下英雄会汜水》是2004年春风文艺出版社出版的图书，作者是那多,"[('那 多 三 国 事 件 簿 之 天 下 英 雄 会 [UNK] 水', '那 多', 11), ('那 多 三 国 事 件 簿 之 天 下 英 雄 会 [UNK] 水', '春 风 文 艺 出 版 社', 12)]","[('那 多 三 国 事 件 簿 之 天 下 英 雄 会 [UNK] 水', '那 多', 11), ('那 多 三 国 事 件 簿 之 天 下 英 雄 会 [UNK] 水', '春 风 文 艺 出 版 社', 12)]"
36,《车尔尼钢琴手指灵巧练习曲·作品740》是2000年上海音乐出版社出版的图书，作者是车尔尼,"[('车 尔 尼 钢 琴 手 指 灵 巧 练 习 曲 · 作 品 740', '上 海 音 乐 出 版 社', 12)]","[('车 尔 尼 钢 琴 手 指 灵 巧 练 习 曲 · 作 品 740', '上 海 音 乐 出 版 社', 12), ('车 尔 尼 钢 琴 手 指 灵 巧 练 习 曲 · 作 品 740', '车 尔 尼', 11)]"
37,《傅山临证医书合编》是2010年1月1日山西科学技术出版社出版的书籍，作者是傅山,"[('傅 山 临 证 医 书 合 编', '山 西 科 学 技 术 出 版 社', 12)]","[('傅 山 临 证 医 书 合 编', '傅 山', 11), ('傅 山 临 证 医 书 合 编', '山 西 科 学 技 术 出 版 社', 12)]"
38,《民国三大报人文集：储安平集》是2011年东方出版社出版的图书，作者是储安平,"[('民 国 三 大 报 人 文 集 ： 储 安 平 集', '储 安 平', 11), ('民 国 三 大 报 人 文 集 ： 储 安 平 集', '东 方 出', 12)]","[('民 国 三 大 报 人 文 集 ： 储 安 平 集', '储 安 平', 11), ('民 国 三 大 报 人 文 集 ： 储 安 平 集', '东 方 出 版 社', 12)]"
39,《蔡澜食单·东南亚卷》是2012年山东画报出版社出版的图书，作者是蔡澜,"[('蔡 澜 食 单 · 东 南 亚 卷', '山 东 画 报 出 版 社', 12), ('蔡 澜 食 单 · 东 南 亚 卷', '蔡 澜', 11)]","[('蔡 澜 食 单 · 东 南 亚 卷', '山 东 画 报', 12), ('蔡 澜 食 单 · 东 南 亚 卷', '蔡 澜', 11)]"
40,《中国优秀图画书典藏系列7：杨永青（全五册）》是2010年贵州人民出版社出版的图书，作者是杨永青,"[('中 国 优 秀 图 画 书 典 藏 系 列 7 ： 杨 永 青 （ 全 五 册 ）', '杨 永 青', 11), ('中 国 优 秀 图 画 书 典 藏 系 列 7 ： 杨 永 青 （ 全 五 册 ）', '贵 州 人 民 出 版 社', 12)]","[('中 国 优 秀 图 画 书 典 藏 系 列 7 ： 杨 永 青 （ 全 五 册 ）', '杨 永 青', 11), ('中 国 优 秀 图 画 书 典 藏 系 列 7 ： 杨 永 青 （ 全 五 册 ）', '贵 州 人 民 出 版 社', 12)]"
41,16直到鲁隐公九年，因为宋国的外交失误，鲁国才开始倾向于郑国,[],"[('鲁 隐 公', '鲁', 2), ('鲁 隐 公', '鲁 国', 1)]"
42,《船过水无痕》是蔡秋凤演唱的一首单曲，该曲收录在专辑《船过水无痕·醉袂停》中,"[('船 过 水 无 痕', '船 过 水 无 痕 · 醉 袂 停', 7), ('船 过 水 无 痕', '蔡 秋 凤', 6)]","[('船 过 水 无 痕', '船 过 水 无 痕 · 醉 袂 停', 7), ('船 过 水 无 痕', '蔡 秋 凤', 6)]"
43,周用金：中国书法家协会理事，中国书法家协会出版委员会副主任，《中国书法年鉴》副主编，中国艺术研究院书法研究员，中南大学、湖南师范大学兼职教授，书法硕士生导师，2003年由中国文联出版社出版《周用金书法作品集》，2008年由荣宝斋出版社出版《周用金行草字汇》，此书2012年由台湾书画院单独出版,[],[]
44,《 法律与文化》是2011年法律出版社出版的图书，作者是（美）罗森,"[('法 律 与 文 化', '法 律 出 版 社', 12)]","[('法 律 与 文 化', '法 律', 12)]"
45,《竺可桢全集第17卷》是2009年出版的图书，作者是竺可桢,"[('竺 可 桢 全 集 第 17 卷', '竺 可 桢', 11)]","[('竺 可 桢 全 集 第 17 卷', '竺 可 桢', 11)]"
46,《鲁迅代表作》是2008年华夏出版社出版的图书，作者是鲁迅,"[('鲁 迅 代 表 作', '华 夏 出 版 社', 12)]","[('鲁 迅 代 表 作', '华 夏 出 版 社', 12), ('鲁 迅 代 表 作', '鲁 迅', 11)]"
47,《王阔海-中国当代书画名家》是2012年出版的图书，作者是王阔海,"[('王 阔 海 - 中 国 当 代 书 画 名 家', '王 阔 海', 11)]","[('王 阔 海 - 中 国 当 代 书 画 名 家', '王 阔 海', 11)]"
48,《查尔斯·伯恩斯坦诗选》是2011年华中师范大学出版社出版的图书，作者是(美)查尔斯·伯恩斯坦,"[('查 尔 斯 · 伯 恩 斯 坦 诗 选', '华 中 师 范 大 学 出 版 社', 12), ('查 尔 斯 · 伯 恩 斯 坦 诗 选', '查 尔 斯 · 伯 恩 斯 坦', 11)]","[('查 尔 斯 · 伯 恩 斯 坦 诗 选', '华 中 师 范 大 学 出 版 社', 12), ('查 尔 斯 · 伯 恩 斯 坦 诗 选', '查 尔 斯 · 伯 恩 斯 坦', 11)]"
49,专辑背景《天庥日记》是由电视剧《外来媳妇本地郎》中演康家长孙--天庥（李俊毅） 所唱的一首歌曲，也是天庥作为歌手正式发行的单曲,"[('天 [UNK] 日 记', '李 俊', 6)]","[('天 [UNK] 日 记', '天 [UNK]', 6), ('外 来 媳 妇 本 地 郎', '李 俊 毅', 13), ('天 [UNK] 日 记', '李 俊 毅', 6)]"
50,《冯梦龙全集（全二十四册）》是2005年远方出版社出版的图书，作者是冯梦龙,"[('冯 梦 龙 全 集 （ 全 二 十 四 册 ）', '远 方 出 版 社', 12), ('冯 梦 龙 全 集 （ 全 二 十 四 册 ）', '冯 梦 龙', 11)]","[('冯 梦 龙 全 集 （ 全 二 十 四 册 ）', '远 方 出 版 社', 12), ('冯 梦 龙 全 集 （ 全 二 十 四 册 ）', '冯 梦 龙', 11)]"
51,内容简介《顾颉刚自传》内容简介：史学家顾颉刚亲笔撰写的唯一一部激情四溢又理智反省的完整自传,"[('顾 颉 刚 自 传', '顾 颉 刚', 11)]","[('顾 颉 刚 自 传', '顾 颉 刚', 11)]"
52,《翁同龢传-高阳文集-珍藏版》是2013年吉林出版集团有限责任公司出版的图书，作者是高阳,"[('翁 同 [UNK] 传 - 高 阳 文 集 - 珍 藏 版', '吉 林 出 版 集 团 有 限 责 任 公 司', 12)]","[('翁 同 [UNK] 传 - 高 阳 文 集 - 珍 藏 版', '吉 林 出 版 集 团 有 限 责 任 公 司', 12), ('翁 同 [UNK] 传 - 高 阳 文 集 - 珍 藏 版', '高 阳', 11)]"
53,1990年，彼得·林奇退休，开始总结自己的投资经验，陆续写《彼得·林奇的成功投资》《战胜华尔街》《学以致富》，轰动华尔街,"[('战 胜 华 尔 街', '彼 得 · 林 奇', 8)]","[('彼 得 · 林 奇 的 成 功 投 资', '彼 得 · 林 奇', 11), ('战 胜 华 尔 街', '彼 得 · 林 奇', 11)]"
54,《陈鹏-中国当代书画名家》是2012年线装书局出版的图书，作者是陈鹏,"[('陈 鹏 - 中 国 当 代 书 画 名 家', '线 装 书 局', 12)]","[('当 代', '2012 年', 17), ('陈 鹏 - 中 国 当 代 书 画 名 家', '陈 鹏', 11)]"
55,《东皋子集寒山诗集》是1992年12月1日出版的图书，作者是王绩、释寒山,"[('东 皋 子 集 寒 山 诗 集', '王 绩', 11)]","[('东 皋 子 集 寒 山 诗 集', '寒 山', 11), ('东 皋 子 集 寒 山 诗 集', '王 绩', 11)]"
56,一是刘德华主唱的一首歌，收录于专辑《一只牛的异想世界》，填词方文山，作曲林迈可,"[('一', '刘 德 华', 6), ('一', '一 只 牛 的 异 想 世 界', 7), ('一', '林 迈 可', 9), ('一', '方 文 山', 8)]","[('一', '一 只 牛 的 异 想 世 界', 7), ('一', '林 迈 可', 9)]"
57,《神曲》是由张洪量作词、作曲并演唱的歌曲，收录于其2014年10月14日发行的专辑《爱情神曲》中,"[('神 曲', '张 洪 量', 9)]","[('神 曲', '张 洪 量', 8), ('神 曲', '爱 情 神 曲', 7), ('神 曲', '张 洪 量', 9), ('神 曲', '张 洪 量', 6)]"
58,《斯坦尼拉夫斯基自传》是2006年1月1日出版的图书，作者是斯坦尼拉夫斯基,"[('斯 坦 尼 拉 夫 斯 基 自 传', '斯 坦 尼 拉 夫 斯 基', 11)]","[('斯 坦 尼 拉 夫 斯 基 自 传', '斯 坦 尼 拉 夫 斯 基', 11)]"
59,本教程摘录自《尤无曲画松技法》，北京美术摄影出版社出版，尤无曲绘，节选网络共享内容仅供参考，如需深入学习，请从正规渠道购买正版图书,"[('尤 无 曲 画 松 技 法', '北 京 美 术 摄 影 出 版 社', 12)]","[('尤 无 曲 画 松 技 法', '尤 无 曲', 11), ('尤 无 曲 画 松 技 法', '北 京 美 术 摄 影 出 版 社', 12)]"
60,《黄宾虹山水册》是1983年人民美术出版社出版的图书，作者是黄宾虹,"[('黄 宾 虹 山 水 册', '人 民 美 术 出 版 社', 12)]","[('黄 宾 虹 山 水 册', '人 民 美 术 出 版 社', 12), ('黄 宾 虹 山 水 册', '黄 宾 虹', 11)]"
61,《斯琴高丽的开心》可以说一个新的起点新的创新，在专辑中斯琴高丽不仅唱出她简单快乐美好的人生体验，更为专辑里的每一首歌定位并为其创作写真大片，未来一起踏入一个新的征程,[],"[('斯 琴 高 丽 的 开 心', '斯 琴 高 丽', 6)]"
62,《蓝鸿文自选集》是2007年中国人民大学出版社出版的图书，作者是蓝鸿文,"[('蓝 鸿 文 自 选 集', '中 国 人 民 大 学 出 版 社', 12), ('蓝 鸿 文 自 选 集', '蓝 鸿 文', 11)]","[('蓝 鸿 文 自 选 集', '蓝 鸿 文', 11), ('蓝 鸿 文 自 选 集', '中 国 人 民 大 学', 12)]"
63,《唐伯虎落花诗/中国古代名家名帖》是1996年江西美术出版社出版的图书，作者是唐伯虎,"[('唐 伯 虎 落 花 诗 / 中 国 古 代 名 家 名 帖', '江 西 美 术 出 版 社', 12)]","[('唐 伯 虎 落 花 诗 / 中 国 古 代 名 家 名 帖', '唐 伯 虎', 11), ('唐 伯 虎 落 花 诗 / 中 国 古 代 名 家 名 帖', '江 西 美 术 出 版 社', 12)]"
64,《王干文学对话录》是2004年漓江出版社出版的图书，作者是王干,"[('王 干 文 学 对 话 录', '漓 江 出 版 社', 12), ('王 干 文 学 对 话 录', '王 干', 11)]","[('王 干 文 学 对 话 录', '漓 江 出 版 社', 12), ('王 干 文 学 对 话 录', '王 干', 11)]"
65,《胡乔木文集（第二卷）》是1993年人民出版社出版的图书，作者是胡乔木,"[('胡 乔 木 文 集 （ 第 二 卷 ）', '人 民 出 版 社', 12)]","[('胡 乔 木 文 集 （ 第 二 卷 ）', '胡 乔 木', 11), ('胡 乔 木 文 集 （ 第 二 卷 ）', '人 民 出 版 社', 12)]"
66,《吴之振诗集》由浙江古籍出版社于2012-11出版，作者是吴之振,"[('吴 之 振 诗 集', '浙 江 古 籍 出 版 社', 12), ('吴 之 振 诗 集', '吴 之 振', 11)]","[('吴 之 振 诗 集', '吴 之 振', 11), ('吴 之 振 诗 集', '浙 江 古 籍 出 版 社', 12)]"
67,《重新长大》是由许廷铿演唱，收录于专辑《长大》的一首歌曲，是该专辑的第一主打歌,"[('重 新 长 大', '长 大', 7)]","[('重 新 长 大', '长 大', 7), ('重 新 长 大', '许 廷 铿', 6)]"
68,《冰心著作集之二——冰心散文集》1943，开明,"[('冰 心 散 文 集', '开 明', 12)]","[('冰 心 散 文 集', '冰 心', 11)]"
69,《凌鸿勋口述自传》是2011年湖南教育出版社出版的图书，作者是凌鸿勋 口述，沈云龙 访问,"[('凌 鸿 勋 口 述 自 传', '湖 南 教 育 出 版 社', 12)]","[('凌 鸿 勋 口 述 自 传', '凌 鸿 勋', 11), ('凌 鸿 勋 口 述 自 传', '湖 南 教 育 出 版 社', 12)]"
70,《大学四级4500词-黎学智英语词汇逻辑记忆法》是2006年长春出版社出版的图书，作者是黎学智,"[('大 学 四 级 4500 词 - 黎 学 智 英 语 词 汇 逻 辑 记 忆 法', '长 春 出 版 社', 12), ('大 学 四 级 4500 词 - 黎 学 智 英 语 词 汇 逻 辑 记 忆 法', '黎 学 智', 11)]","[('大 学 四 级 4500 词 - 黎 学 智 英 语 词 汇 逻 辑 记 忆 法', '长 春', 12), ('大 学 四 级 4500 词 - 黎 学 智 英 语 词 汇 逻 辑 记 忆 法', '黎 学 智', 11)]"
71,《雷爱祖牡丹集》是广西美术出版社2011年出版的图书，作者是雷爱祖,"[('雷 爱 祖 牡 丹 集', '广 西 美 术 出 版 社', 12)]","[('雷 爱 祖 牡 丹 集', '广 西 美 术 出 版 社', 12), ('雷 爱 祖 牡 丹 集', '雷 爱 祖', 11)]"
72,熊猫，是中国香港歌手郑俊弘在2014年09月15日发行的歌曲，收录在其首张音乐专辑《熊猫的故事》里，该歌曲有国语版与粤语版两种,"[('熊 猫', '熊 猫 的 故 事', 7)]","[('熊 猫', '熊 猫 的 故 事', 7), ('熊 猫', '郑 俊 弘', 6)]"
73,张勇，男，汉族，1955年5月出生于浙江新昌，1986年12月加入中国共产党,"[('张 勇', '1955 年 5 月', 4), ('张 勇', '中 国', 1), ('张 勇', '浙 江 新 昌', 2)]","[('江 新', '汉 族', 3), ('江 新', '1955 年 5 月', 4), ('江 新', '浙 江 新 昌', 2)]"
74,《田沁鑫的排练场之四世同堂》是2011年北京大学出版社出版的图书，作者是田沁鑫,"[('田 沁 鑫 的 排 练 场 之 四 世 同 堂', '北 京 大 学', 12)]","[('田 沁 鑫 的 排 练 场 之 四 世 同 堂', '北 京 大 学 出 版 社', 12), ('田 沁 鑫 的 排 练 场 之 四 世 同 堂', '田 沁 鑫', 11)]"
75,《钱文忠集：钱文忠品读人与城》是2014年4月1日青岛出版社出版的图书，作者是钱文忠,"[('钱 文 忠 集 ： 钱 文 忠 品 读 人 与 城', '钱 文 忠', 11), ('钱 文 忠 集 ： 钱 文 忠 品 读 人 与 城', '青 岛 出 版 社', 12)]","[('钱 文 忠 集 ： 钱 文 忠 品 读 人 与 城', '钱 文 忠', 11), ('钱 文 忠 集 ： 钱 文 忠 品 读 人 与 城', '青 岛 出 版 社', 12)]"
76,《何宁素描艺术》是2011年1月天津杨柳青画社出版的图书，作者是何宁,"[('何 宁 素 描 艺 术', '天 津 杨 柳 青 画 社', 12)]","[('何 宁 素 描 艺 术', '何 宁', 11)]"
77,《丁邦新语言学论文集》是商务印书馆出版的图书，作者是丁邦新,"[('丁 邦 新 语 言 学 论 文 集', '丁 邦 新', 11), ('丁 邦 新 语 言 学 论 文 集', '商 务 印 书 馆', 12)]","[('丁 邦 新 语 言 学 论 文 集', '丁 邦 新', 11), ('丁 邦 新 语 言 学 论 文 集', '商 务 印 书 馆', 12)]"
78,《法国印象派绘画：凡高》是1899-12吉林美术出版社出版的图书，作者是凡高,"[('法 国 印 象 派 绘 画 ： 凡 高', '吉 林 美 术 出 版 社', 12)]","[('法 国 印 象 派 绘 画 ： 凡 高', '吉 林 美 术 出 版 社', 12), ('法 国 印 象 派 绘 画 ： 凡 高', '凡 高', 11)]"
79,1人民文学出版社于1956年出版的《海涅诗选》是建国以来最早的海涅诗集的汉译本，由著名翻译家冯至译,"[('海 涅 诗 选', '人 民 文 学 出 版 社', 12)]","[('海 涅 诗 选', '人 民 文 学 出 版 社', 12), ('海 涅 诗 选', '海 涅', 11)]"
80,《普里什文散文》是2008年人民文学出版社出版的图书，作者是普里什文,"[('普 里 什 文 散 文', '人 民 文 学 出 版 社', 12)]","[('普 里 什 文 散 文', '人 民 文 学 出 版 社', 12), ('普 里 什 文 散 文', '普 里 什 文', 11)]"
