,text,pre,truth
19,和红卫，男，纳西族，1967年1月生，籍贯云南丽江古城，1986年7月参加工作，中共党员，大学学历,"[('和 红 卫', '纳 西 族', 3), ('和 红 卫', '1967 年 1 月', 4), ('和 红 卫', '云 南 丽 江 古 城', 2)]","[('和 红 卫', '纳 西 族', 3), ('和 红 卫', '1967 年 1 月', 4), ('和 红 卫', '云 南 丽 江 古 城', 2)]"
20,秦哲为 男，汉族，1936年12月生，甘肃张掖币人,"[('秦 哲 为', '汉 族', 3)]","[('秦 哲 为', '甘 肃 张 掖', 2), ('秦 哲 为', '汉 族', 3), ('秦 哲 为', '1936 年 12 月', 4)]"
21,《都市英雄》是由导演唐彦林执导、演员梁冠华、姜少华二位领衔主演的都市打工喜剧电视剧,"[('都 市 英 雄', '唐 彦 林', 14)]","[('都 市 英 雄', '唐 彦 林', 14), ('都 市 英 雄', '梁 冠 华', 13), ('都 市 英 雄', '姜 少 华', 13)]"
22,《近代中国报道：1839～1919：插图本》是首都师范大学出版社2006年出版的图书，作者是齐钟久,"[('近 代 中 国 报 道 ： 1839～1919 ： 插 图 本', '首 都 师 范 大 学 出 版 社', 12), ('近 代 中 国 报 道 ： 1839～1919 ： 插 图 本', '齐 钟 久', 11)]","[('近 代 中 国 报 道 ： 1839～1919 ： 插 图 本', '首 都 师 范 大 学 出 版 社', 12), ('近 代 中 国 报 道 ： 1839～1919 ： 插 图 本', '齐 钟 久', 11), ('齐 钟 久', '中 国', 1)]"
23,2016年7月18日，《大话西游3》在北京举办“时光倒流”发布会，导演刘镇伟携新版“紫霞”扮演者唐嫣和新版“至尊宝”韩庚出席,"[('大 话 西 游 3', '刘 镇 伟', 14)]","[('大 话 西 游 3', '刘 镇 伟', 14), ('大 话 西 游 3', '唐 嫣', 13), ('大 话 西 游 3', '韩 庚', 13)]"
24,《轻轻的海风我的心》是中国内地女歌手陈明演唱的歌曲，1994年于第二张个人专辑《寂寞让我如此美丽》中发表,"[('轻 轻 的 海 风 我 的 心', '寂 寞 让 我 如 此 美 丽', 7)]","[('陈 明', '中 国', 1), ('轻 轻 的 海 风 我 的 心', '陈 明', 6), ('轻 轻 的 海 风 我 的 心', '寂 寞 让 我 如 此 美 丽', 7)]"
25,三大系列张之路“非常可笑”、“非常感动”、“非常神秘”三大系列的前六册包括《非法智慧》、《霹雳贝贝》、《第三军团》、《惩罚》、《乌龟也上网》、《我和我的影子》,"[('我 和 我 的 影 子', '张 之 路', 11), ('霹 雳 贝 贝', '张 之 路', 11)]","[('第 三 军 团', '张 之 路', 11), ('惩 罚', '张 之 路', 11), ('乌 龟 也 上 网', '张 之 路', 11)]"
26,无与伦比的美丽，《无与伦比的美丽》是由吴青峰作词、作曲，苏打绿演唱的歌曲，收录于同名专辑《无与伦比的美丽》里,"[('无 与 伦 比 的 美 丽', '吴 青 峰', 8), ('无 与 伦 比 的 美 丽', '吴 青 峰', 9)]","[('无 与 伦 比 的 美 丽', '苏 打 绿', 6), ('无 与 伦 比 的 美 丽', '吴 青 峰', 8), ('无 与 伦 比 的 美 丽', '吴 青 峰', 9)]"
27,《越爱越强》是张杰演唱的歌曲，由张简君伟作词、作曲1，收入在黑色勇气《越爱越强》中，发行于2016-08-201,"[('越 爱 越 强', '张 杰', 6), ('越 爱 越 强', '张 简 君 伟', 8), ('越 爱 越 强', '张 简 君 伟', 9)]","[('越 爱 越 强', '张 杰', 6), ('越 爱 越 强', '张 简 君 伟', 8), ('越 爱 越 强', '张 简 君 伟', 9)]"
28,《你不再爱我》是由高志远填词谱曲，由蔡妍演唱的一首歌曲,"[('你 不 再 爱 我', '高 志 远', 9), ('你 不 再 爱 我', '蔡 妍', 6), ('你 不 再 爱 我', '高 志 远', 8)]","[('你 不 再 爱 我', '高 志 远', 9), ('你 不 再 爱 我', '蔡 妍', 6), ('你 不 再 爱 我', '高 志 远', 8)]"
29,《错一次就好》是林志颖的音乐作品，杨主德作曲，收录在《期待》专辑中,"[('错 一 次 就 好', '期 待', 7), ('错 一 次 就 好', '林 志 颖', 6)]","[('错 一 次 就 好', '林 志 颖', 8), ('错 一 次 就 好', '期 待', 7), ('错 一 次 就 好', '林 志 颖', 6)]"
30,毛小睿，1972年4月出生，导演、编剧，主要作品有《真假英雄兄弟情》、《花儿怒放》、《无法尖叫》等,[],"[('无 法 尖 叫', '毛 小 睿', 14), ('花 儿 怒 放', '毛 小 睿', 14), ('真 假 英 雄 兄 弟 情', '毛 小 睿', 14)]"
31,而后，林俊杰通过努力，创作出许多热门歌曲如《江南》、《一千年以后》、《曹操》、《小酒窝》等至今传唱的音乐,"[('一 千 年 以 后', '林 俊 杰', 9), ('小 酒 窝', '林 俊 杰', 9)]","[('一 千 年 以 后', '林 俊 杰', 9), ('小 酒 窝', '林 俊 杰', 9), ('一 千 年 以 后', '林 俊 杰', 6)]"
32,《互联网品牌策略》是2001年上海科学技术文献出版社出版的一本图书，作者是马丁·林兹乔姆、蒂姆·弗兰克·安德森,"[('互 联 网 品 牌 策 略', '上 海 科 学 技 术 文 献 出 版 社', 12)]","[('互 联 网 品 牌 策 略', '上 海 科 学 技 术 文 献 出 版 社', 12), ('互 联 网 品 牌 策 略', '马 丁 · 林 兹 乔 姆', 11), ('互 联 网 品 牌 策 略', '蒂 姆 · 弗 兰 克 · 安 德 森', 11)]"
33,朱红姣，女，汉族，1965年10月出生，河南孟津人，1982年9月1日参加工作，1985年5月加入中国共产党，大学本科学历,"[('朱 红 姣', '汉 族', 3)]","[('朱 红 姣', '汉 族', 3), ('朱 红 姣', '1965 年 10 月', 4), ('朱 红 姣', '河 南 孟 津', 2)]"
34,《我还想爱》，是由歌手姜育恒演唱，出自专辑女人的选择，已发行的音乐作品,"[('我 还 想 爱', '女 人 的 选 择', 7)]","[('我 还 想 爱', '女 人 的 选 择', 7), ('我 还 想 爱', '姜 育 恒', 6), ('女 人 的 选 择', '姜 育 恒', 6)]"
35,《香蜜沉沉烬如霜》由朱锐斌执导，杨紫、邓伦领衔主演,"[('香 蜜 沉 沉 烬 如 霜', '邓 伦', 13), ('香 蜜 沉 沉 烬 如 霜', '朱 锐 斌', 14), ('香 蜜 沉 沉 烬 如 霜', '杨 紫', 13)]","[('香 蜜 沉 沉 烬 如 霜', '邓 伦', 13), ('香 蜜 沉 沉 烬 如 霜', '朱 锐 斌', 14), ('香 蜜 沉 沉 烬 如 霜', '杨 紫', 13)]"
36,霍勇 男，汉族，1961年1月出生，河南淮滨人，1975年5月参加工作，1982年1月入党，中央党校经济管理专业毕业，党校大学学历,"[('霍 勇', '1961 年 1 月', 4), ('霍 勇', '汉 族', 3), ('霍 勇', '河 南 淮 滨', 2), ('霍 勇', '中 央 党 校', 5)]","[('霍 勇', '1961 年 1 月', 4), ('霍 勇', '河 南 淮 滨', 2), ('霍 勇', '汉 族', 3)]"
37,3、奇瑞2016年总销量：70万辆奇瑞汽车股份有限公司成立于1997年1月8日，注册资本41亿元,"[('奇 瑞', '1997 年 1 月 8 日', 17)]","[('奇 瑞', '1997 年 1 月 8 日', 17), ('奇 瑞 汽 车 股 份 有 限 公 司', '1997 年 1 月 8 日', 17), ('奇 瑞', '1997', 17)]"
38,昨日，由刘烨、雷佳音、林依晨等人主演的电视剧《老男孩》在湖南卫视黄金档播出,"[('老 男 孩', '刘 烨', 13), ('老 男 孩', '雷 佳 音', 13), ('老 男 孩', '林 依 晨', 13)]","[('老 男 孩', '刘 烨', 13), ('老 男 孩', '雷 佳 音', 13), ('老 男 孩', '林 依 晨', 13)]"
39,华语乐坛男歌手邓海伤感方言情歌《永远在一起》全网震撼首发，由谢群担任词曲、李德奎编曲、邓海演唱，可以说此次作品发行后，获得了广大朋友歌迷的喜爱,"[('永 远 在 一 起', '谢 群', 8)]","[('永 远 在 一 起', '谢 群', 8), ('永 远 在 一 起', '邓 海', 6), ('永 远 在 一 起', '谢 群', 9)]"
40,简介姜圣阶(1915—1992)中国化工、核能专家，生于1915年11月14日，黑龙江省林甸县人,"[('姜 圣 阶', '中 国', 1), ('姜 圣 阶', '1915 年 11 月 14 日', 4), ('姜 圣 阶', '黑 龙 江 省 林 甸 县', 2)]","[('姜 圣 阶', '中 国', 1), ('姜 圣 阶', '1915 年 11 月 14 日', 4), ('姜 圣 阶', '黑 龙 江 省 林 甸 县', 2)]"
41,《新编初级日语》是2001年吉林教育出版社出版的图书，作者是谷学谦(译)，李永夏(编译),"[('新 编 初 级 日 语', '谷 学 谦', 11), ('新 编 初 级 日 语', '吉 林 教 育 出 版 社', 12)]","[('新 编 初 级 日 语', '谷 学 谦', 11), ('新 编 初 级 日 语', '吉 林 教 育', 12), ('新 编 初 级 日 语', '李 永 夏', 11)]"
42,人物生平罗才贵1949年生于四川省峨眉山市，1976年毕业于成都中医学院医疗系中医专业，留校工作并先后兼任中华医学会成都针灸学会理事长、成都针灸学会推拿专委会主任委员、四川省科学技术顾问团顾问等多个兼任职务,"[('罗 才 贵', '四 川 省 峨 眉 山 市', 2), ('罗 才 贵', '成 都 中 医 学 院', 5)]","[('罗 才 贵', '四 川 省 峨 眉 山 市', 2), ('罗 才 贵', '成 都 中 医 学 院', 5), ('罗 才 贵', '1949 年', 4)]"
43,基本信息歌名：别再想他  演唱：蒋雪儿  作词：周玉荣  作曲：周玉荣1乐曲内容[00:00,"[('别 再 想 他', '周 玉 荣', 8), ('别 再 想 他', '周 玉 荣', 9), ('别 再 想 他', '蒋 雪 儿', 6)]","[('别 再 想 他', '周 玉 荣', 8), ('别 再 想 他', '周 玉 荣', 9), ('别 再 想 他', '蒋 雪 儿', 6)]"
44,歌曲《今晚没借口》选自专辑《环球影音启示录》，由林夕作词，杨振龙作曲，是一首粤语歌曲，2004年出版并发行,"[('今 晚 没 借 口', '环 球 影 音 启 示 录', 7), ('今 晚 没 借 口', '林 夕', 8), ('今 晚 没 借 口', '杨 振 龙', 9)]","[('今 晚 没 借 口', '环 球 影 音 启 示 录', 7), ('今 晚 没 借 口', '林 夕', 8), ('今 晚 没 借 口', '杨 振 龙', 9)]"
45,《雾中花》是电视剧《寻龙剑侠赖布衣》主题曲，1由香港歌手黄凯芹作词作曲并演唱,"[('雾 中 花', '黄 凯 芹', 9)]","[('雾 中 花', '黄 凯 芹', 6), ('雾 中 花', '黄 凯 芹', 8), ('雾 中 花', '黄 凯 芹', 9)]"
46,早年经历1995年8月8日，丹尼尔·汉密尔顿出生于美国加利福尼亚州洛杉矶，大学就读于康涅狄格大学,"[('丹 尼 尔 · 汉 密 尔 顿', '美 国 加 利 福 尼 亚 州 洛 杉 矶', 2), ('丹 尼 尔 · 汉 密 尔 顿', '康 涅 狄 格 大 学', 5), ('丹 尼 尔 · 汉 密 尔 顿', '美 国', 1)]","[('丹 尼 尔 · 汉 密 尔 顿', '美 国 加 利 福 尼 亚 州 洛 杉 矶', 2), ('丹 尼 尔 · 汉 密 尔 顿', '1995 年 8 月 8 日', 4), ('丹 尼 尔 · 汉 密 尔 顿', '美 国', 1)]"
47,《别把寂寞当缘分1》是歌手冷漠演唱歌曲，夏英峰作词作曲，付威录音混音，曾诚小提琴,"[('别 把 寂 寞 当 缘 分', '夏 英 峰', 8), ('别 把 寂 寞 当 缘 分', '夏 英 峰', 9), ('别 把 寂 寞 当 缘 分', '冷 漠', 6)]","[('别 把 寂 寞 当 缘 分', '夏 英 峰', 8), ('别 把 寂 寞 当 缘 分', '夏 英 峰', 9), ('别 把 寂 寞 当 缘 分', '冷 漠', 6)]"
48,《桃花朵朵开》是由阿牛、友弟作词，阿牛作曲并演唱的一首歌曲，收录于阿牛于2006年1月13日发行的专辑《桃花朵朵开》中,"[('桃 花 朵 朵 开', '阿 牛', 8), ('桃 花 朵 朵 开', '阿 牛', 9)]","[('桃 花 朵 朵 开', '阿 牛', 8), ('桃 花 朵 朵 开', '阿 牛', 9), ('桃 花 朵 朵 开', '阿 牛', 6)]"
49,第一号伤心人是由迪克牛仔唱的一首歌，收自《我这个你不爱的人》专辑,"[('第 一 号 伤 心 人', '我 这 个 你 不 爱 的 人', 7)]","[('我 这 个 你 不 爱 的 人', '迪 克 牛 仔', 6), ('第 一 号 伤 心 人', '迪 克 牛 仔', 6), ('第 一 号 伤 心 人', '我 这 个 你 不 爱 的 人', 7)]"
50,《迎接大财神》是文千岁、梁少芯演唱的一首单曲，该曲收录在专辑《恭喜恭喜》中,"[('迎 接 大 财 神', '文 千 岁', 6), ('迎 接 大 财 神', '恭 喜 恭 喜', 7), ('迎 接 大 财 神', '梁 少 芯', 6)]","[('迎 接 大 财 神', '文 千 岁', 6), ('迎 接 大 财 神', '梁 少 芯', 6), ('迎 接 大 财 神', '恭 喜 恭 喜', 7)]"
51,李艳萍，女，汉族，1961年12月出生，河南上蔡人,"[('李 艳 萍', '汉 族', 3)]","[('李 艳 萍', '汉 族', 3), ('李 艳 萍', '河 南 上 蔡', 2), ('李 艳 萍', '1961 年 12 月', 4)]"
52,个人简介曹茂良，男，汉族，1966年生，泰州市政府新闻发言人，现在职务：泰州市委宣传部副部长、外宣办主任1工作经历泰州市召开2011年“安全生产月”活动新闻发布会2  泰州市委宣传部召开2011年全市“安全生产月”活动新闻发布会,"[('曹 茂 良', '1966 年', 4), ('曹 茂 良', '汉 族', 3)]","[('曹 茂 良', '1966 年', 4), ('曹 茂 良', '汉 族', 3), ('曹 茂 良', '泰 州 市', 2)]"
53,《决斗巴哈》是由黄俊郎作词，詹宇豪作曲，南拳妈妈演唱的一首歌曲，该曲收录于南拳妈妈2010年7月8日发行的同名专辑《决斗巴哈》中,"[('决 斗 巴 哈', '詹 宇 豪', 9), ('决 斗 巴 哈', '黄 俊 郎', 8)]","[('决 斗 巴 哈', '詹 宇 豪', 9), ('决 斗 巴 哈', '黄 俊 郎', 8), ('决 斗 巴 哈', '南 拳 妈 妈', 6)]"
54,1歌曲《把你捧在掌心》是由歌手孙辉演唱的一首歌曲，所属专辑《没有车没有房》,"[('没 有 车 没 有 房', '孙 辉', 6), ('把 你 捧 在 掌 心', '没 有 车 没 有 房', 7), ('把 你 捧 在 掌 心', '孙 辉', 6)]","[('没 有 车 没 有 房', '孙 辉', 6), ('把 你 捧 在 掌 心', '没 有 车 没 有 房', 7), ('把 你 捧 在 掌 心', '孙 辉', 6)]"
55,彭及才，男，1959年2月生，陆河县人，汉族，1978年2月参加工作，1985年9月加入中国共产党，省委党校在职大专学历,"[('彭 及 才', '汉 族', 3)]","[('彭 及 才', '1959 年 2 月', 4), ('彭 及 才', '陆 河 县', 2), ('彭 及 才', '汉 族', 3)]"
56,《假婿乘龙》是1964年上映的中国香港喜剧电影，由鲍方执导，朱虹、粱珊等主演,"[('假 婿 乘 龙', '鲍 方', 14), ('假 婿 乘 龙', '1964 年', 16)]","[('假 婿 乘 龙', '鲍 方', 14), ('假 婿 乘 龙', '朱 虹', 13), ('假 婿 乘 龙', '粱 珊', 13)]"
57,《搭错车》是罗灿然执导的情感剧，由马少骅、关晓彤领衔主演1,"[('搭 错 车', '关 晓 彤', 13), ('搭 错 车', '罗 灿 然', 14)]","[('搭 错 车', '关 晓 彤', 13), ('搭 错 车', '马 少 骅', 13), ('搭 错 车', '罗 灿 然', 14)]"
58,人物简介陈毓英1 ，女，汉族，民进会员，1955年4月生于辽宁省大连市，大学学历，工商管理硕士学位，现任大连市地方税务局副局长,"[('陈 毓 英', '汉 族', 3), ('陈 毓 英', '辽 宁 省 大 连 市', 2)]","[('陈 毓 英', '1955 年 4 月', 4), ('陈 毓 英', '汉 族', 3), ('陈 毓 英', '辽 宁 省 大 连 市', 2)]"
59,张雪宁，男，汉族，福建宁化人，1969年2月生，中共党员，大学学历，现任三明市委党校（市行政学院、社会主义学院）办公室负责人,"[('张 雪 宁', '汉 族', 3)]","[('张 雪 宁', '汉 族', 3), ('张 雪 宁', '1969 年 2 月', 4), ('张 雪 宁', '福 建 宁 化', 2)]"
60,缅甸国父昂山将军，缅甸独立后的第一任总理吴努，第三任联合国秘书长吴丹都出自仰光大学,"[('吴 努', '缅 甸', 1)]","[('吴 努', '仰 光 大 学', 5), ('吴 努', '缅 甸', 1), ('吴 丹', '仰 光 大 学', 5)]"
61,《兰陵殇》是河图演唱，于蹊填词，一魔温婉谱曲的歌曲,"[('兰 陵 殇', '于 蹊', 8), ('兰 陵 殇', '河 图', 6), ('兰 陵 殇', '河', 9)]","[('兰 陵 殇', '一 魔 温 婉', 9), ('兰 陵 殇', '于 蹊', 8), ('兰 陵 殇', '河 图', 6)]"
62,青年学者——聂峰  聂峰，男，汉族，1975年1月生，安徽省蚌埠市人，中共党员，安徽大学经济学学士、复旦大学法学硕士，上海金融学院副研究员，上海神光咨询公司首席经济分析师，研究领域：宏观经济、证券投资与金融市场等,"[('聂 峰', '安 徽 省 蚌 埠 市', 2), ('聂 峰', '汉 族', 3)]","[('聂 峰', '安 徽 省 蚌 埠 市', 2), ('聂 峰', '1975 年 1 月', 4), ('聂 峰', '汉 族', 3)]"
63,歌手简介歌手：何静  专辑名称：月亮偷着哭  发行时间：2001年01月19日  发行公司：泰达音像  曾因演唱《向北方》、《喜欢你》、《火把》等多首经典歌曲而被大家所喜爱的何静，于2001年推出了她的新作《月亮偷着哭》2,"[('月 亮 偷 着 哭', '何 静', 6)]","[('火 把', '何 静', 6), ('喜 欢 你', '何 静', 6), ('月 亮 偷 着 哭', '何 静', 6)]"
64,2013年，惠英红与王维基旗下的香港电视签下一年剧集合约，首部作品为《我阿妈系黑玫瑰》，并于剧中任第一女主角,"[('我 阿 妈 系 黑 玫 瑰', '王 维 基', 13), ('我 阿 妈 系 黑 玫 瑰', '惠 英 红', 13)]","[('我 阿 妈 系 黑 玫 瑰', '王 维 基', 13), ('我 阿 妈 系 黑 玫 瑰', '香 港 电 视', 0), ('我 阿 妈 系 黑 玫 瑰', '惠 英 红', 13)]"
65,许彩霞，女，汉族，1964年10月生，广东阳东人，1984年7月参加工作，社科院研究生学历,"[('许 彩 霞', '1964 年 10 月', 4), ('许 彩 霞', '汉 族', 3), ('许 彩 霞', '广 东 阳 东', 2)]","[('许 彩 霞', '1964 年 10 月', 4), ('许 彩 霞', '汉 族', 3), ('许 彩 霞', '广 东 阳 东', 2)]"
66,瓦西里·亚历山德罗维奇·斯塔罗杜布采夫，1931年生于利彼茨克州，毕业于全苏农业函授学院,"[('瓦 西 里 · 亚 历 山 德 罗 维 奇 · 斯 塔 罗 杜 布 采 夫', '1931 年', 4), ('瓦 西 里 · 亚 历 山 德 罗 维 奇 · 斯 塔 罗 杜 布 采 夫', '利 彼 茨 克 州', 2), ('瓦 西 里 · 亚 历 山 德 罗 维 奇 · 斯 塔 罗 杜 布 采 夫', '全 苏 农 业 函 授 学 院', 5)]","[('瓦 西 里 · 亚 历 山 德 罗 维 奇 · 斯 塔 罗 杜 布 采 夫', '1931 年', 4), ('瓦 西 里 · 亚 历 山 德 罗 维 奇 · 斯 塔 罗 杜 布 采 夫', '利 彼 茨 克 州', 2), ('瓦 西 里 · 亚 历 山 德 罗 维 奇 · 斯 塔 罗 杜 布 采 夫', '全 苏 农 业 函 授 学 院', 5)]"
67,直觉是郑欣宜主唱的一首粤语歌，曲周永恒，词陈诗慧，收录于专辑《有故事的人》，《甜言蜜语》电视剧主题曲,"[('直 觉', '有 故 事 的 人', 7)]","[('直 觉', '郑 欣 宜', 6), ('直 觉', '有 故 事 的 人', 7), ('直 觉', '周 永 恒', 9)]"
68,"幸晓维，男，汉族，1957年8月出生，广东兴宁人, 1984年加入中国共产党",[],"[('幸 晓 维', '广 东 兴 宁', 2), ('幸 晓 维', '汉 族', 3), ('幸 晓 维', '1957 年 8 月', 4)]"
69,邓明炯，男，汉族，1925年3月出生，湖南省桂阳县人,"[('邓 明 炯', '汉 族', 3)]","[('邓 明 炯', '1925 年 3 月', 4), ('邓 明 炯', '湖 南 省 桂 阳 县', 2), ('邓 明 炯', '汉 族', 3)]"
70,《广州城市总体发展概念规划研究》是2002-4中国建筑工业出版社出版的图书，作者是李萍萍等编,"[('广 州 城 市 总 体 发 展 概 念 规 划 研 究', '中 国 建 筑 工 业 出 版 社', 12)]","[('李 萍 萍', '中 国', 1), ('广 州 城 市 总 体 发 展 概 念 规 划 研 究', '中 国 建 筑 工 业 出 版 社', 12), ('广 州 城 市 总 体 发 展 概 念 规 划 研 究', '李 萍 萍', 11)]"
