,text,pre,truth
13,朱勇智，男，汉族，生于1968年8月，江苏省淮安市淮阴县人，1990年8月参加工作，1994年2月加入中国共产党，研究生学历，现任理塘县人民政府常务副县长（挂职）,"[('朱 勇 智', '汉 族', 3), ('朱 勇 智', '江 苏 省 淮 安 市 淮 阴 县', 2), ('朱 勇 智', '中 国', 1), ('朱 勇 智', '1968 年 8 月', 4)]","[('朱 勇 智', '1968 年 8 月', 4), ('朱 勇 智', '江 苏 省 淮 安 市 淮 阴 县', 2), ('朱 勇 智', '中 国', 1), ('朱 勇 智', '汉 族', 3)]"
14,《王小米驯夫记》是由上海新文化传媒集团股份有限公司出品的家庭伦理轻喜剧，欧阳奋强执导，姚笛、郭品超主演,"[('王 小 米 驯 夫 记', '欧 阳 奋 强', 14), ('王 小 米 驯 夫 记', '郭 品 超', 13), ('王 小 米 驯 夫 记', '上 海 新 文 化 传 媒 集 团 股 份 有 限 公 司', 0), ('王 小 米 驯 夫 记', '姚 笛', 13)]","[('王 小 米 驯 夫 记', '郭 品 超', 13), ('王 小 米 驯 夫 记', '姚 笛', 13), ('王 小 米 驯 夫 记', '上 海 新 文 化 传 媒 集 团 股 份 有 限 公 司', 0), ('王 小 米 驯 夫 记', '欧 阳 奋 强', 14)]"
15,《茫然》是陈珊妮作词作曲并演唱的歌曲，收录于专辑《华盛顿砍倒樱桃树》中,"[('茫 然', '陈 珊 妮', 8), ('茫 然', '陈 珊 妮', 9), ('茫 然', '华 盛 顿 砍 倒 樱 桃 树', 7)]","[('茫 然', '陈 珊 妮', 8), ('茫 然', '陈 珊 妮', 9), ('茫 然', '华 盛 顿 砍 倒 樱 桃 树', 7), ('茫 然', '陈 珊 妮', 6)]"
16,高用文，男，汉族，1963年8月生，河南林州人，中央党校大学学历，1982年10月参加工作，1987年8月加入中国共产党,"[('高 用 文', '汉 族', 3), ('高 用 文', '中 国', 1), ('高 用 文', '河 南 林 州', 2), ('高 用 文', '1963 年 8 月', 4), ('高 用 文', '中 央 党 校', 5)]","[('高 用 文', '河 南 林 州', 2), ('高 用 文', '1963 年 8 月', 4), ('高 用 文', '汉 族', 3), ('高 用 文', '中 央 党 校', 5)]"
17,《小遥17岁》是片山修、木村政和、常广丈太执导的日本偶像剧，由平山绫、宫前遥、古田新太等主演,"[('小 遥 17 岁', '片 山 修', 14), ('小 遥 17 岁', '木 村 政 和', 14), ('小 遥 17 岁', '常 广 丈 太', 14)]","[('小 遥 17 岁', '古 田 新 太', 13), ('小 遥 17 岁', '片 山 修', 14), ('小 遥 17 岁', '木 村 政 和', 14), ('小 遥 17 岁', '常 广 丈 太', 14)]"
18,《镜海风云》是李云亮执导的一部年代传奇剧，由张铎、叶静、黄曼等主演1,"[('镜 海 风 云', '叶 静', 13), ('镜 海 风 云', '黄 曼', 13), ('镜 海 风 云', '张 铎', 13), ('镜 海 风 云', '李 云 亮', 14)]","[('镜 海 风 云', '叶 静', 13), ('镜 海 风 云', '黄 曼', 13), ('镜 海 风 云', '张 铎', 13), ('镜 海 风 云', '李 云 亮', 14)]"
19,《桐花》是钟欣潼的首张个人国语专辑，共收录了《惯性冬眠》《回家以后》等十首歌曲，于2013年5月28日正式发行12,"[('桐 花', '钟 欣 潼', 6), ('回 家 以 后', '钟 欣 潼', 6), ('回 家 以 后', '桐 花', 7)]","[('回 家 以 后', '钟 欣 潼', 6), ('惯 性 冬 眠', '桐 花', 7), ('惯 性 冬 眠', '钟 欣 潼', 6), ('回 家 以 后', '桐 花', 7)]"
20,肖拴成1，男，汉族，生于1955年7月，甘肃宁县人，大专文化程度，1972年12月参加工作，1976年9月加入中国共产党,"[('肖 拴 成', '甘 肃 宁 县', 2), ('肖 拴 成', '汉 族', 3), ('肖 拴 成', '1955 年 7 月', 4)]","[('肖 拴 成', '中 国', 1), ('肖 拴 成', '甘 肃 宁 县', 2), ('肖 拴 成', '汉 族', 3), ('肖 拴 成', '1955 年 7 月', 4)]"
21,《若是如此》集结各路喜剧大咖，艾伦、张小斐、崔志佳、衣云鹤爆笑联手，于莎莎、李菁、梁龙、于嘉、孙越等实力偶像倾力助阵，一场不可思议的喜剧之旅即将由此开启,"[('若 是 如 此', '梁 龙', 13), ('若 是 如 此', '崔 志 佳', 13)]","[('若 是 如 此', '艾 伦', 13), ('若 是 如 此', '崔 志 佳', 13), ('若 是 如 此', '张 小 斐', 13), ('若 是 如 此', '衣 云 鹤', 13)]"
22,00后最喜欢的五位女星排名，迪丽热巴上榜，最后一位已公开恋情第三位、郑爽，郑爽，1991年8月22日出生于辽宁省沈阳市大东区，中国内地女演员，毕业于北京电影学院07级表演系本科班,"[('郑 爽', '中 国', 1), ('郑 爽', '北 京 电 影 学 院', 5)]","[('郑 爽', '辽 宁 省 沈 阳 市 大 东 区', 2), ('郑 爽', '中 国', 1), ('郑 爽', '北 京 电 影 学 院', 5), ('郑 爽', '1991 年 8 月 22 日', 4)]"
23,张礼军，1948年9月生，天津市人，祖籍河北安国，又名艾蒙，画家，毕业于天津工艺美术设计院，系中国版画家协会会员，天津美术家协会会员，工艺美术师,"[('张 礼 军', '天 津 市', 2), ('张 礼 军', '1948 年 9 月', 4), ('张 礼 军', '天 津 工 艺 美 术 设 计 院', 5)]","[('张 礼 军', '天 津 市', 2), ('张 礼 军', '天 津 工 艺 美 术 设 计 院', 5), ('张 礼 军', '1948 年 9 月', 4), ('张 礼 军', '中 国', 1)]"
24,张吉广1，男，汉族，1976年8月生，四川达州人，1994年6月加入中国共产党，1997年7月参加工作，四川省工商管理学院工商管理专业毕业，研究生学历,"[('张 吉 广', '汉 族', 3), ('张 吉 广', '四 川 省 工 商 管 理 学 院', 5)]","[('张 吉 广', '1976 年 8 月', 4), ('张 吉 广', '四 川 达 州', 2), ('张 吉 广', '中 国', 1), ('张 吉 广', '汉 族', 3)]"
25,2009年1月，刘伟强执导，与刘德华、舒淇等合作的《游龙戏凤》上映,"[('游 龙 戏 凤', '刘 伟 强', 14)]","[('游 龙 戏 凤', '刘 伟 强', 14), ('游 龙 戏 凤', '舒 淇', 13), ('游 龙 戏 凤', '刘 德 华', 13), ('游 龙 戏 凤', '2009 年', 16)]"
26,《夺宝》是一部以真实的历史事件为背景的历史战争片，由刘庆梅导演，于小磊、冯国庆、张永健主演,"[('夺 宝', '冯 国 庆', 13), ('夺 宝', '刘 庆 梅', 14), ('夺 宝', '于 小 磊', 13), ('夺 宝', '张 永 健', 13)]","[('夺 宝', '冯 国 庆', 13), ('夺 宝', '刘 庆 梅', 14), ('夺 宝', '于 小 磊', 13), ('夺 宝', '张 永 健', 13)]"
27,《奋不顾身1》是歌手崔子格演唱歌曲，崔恕作词作曲，该歌曲收录在专辑《恋爱达人秀》里,"[('奋 不 顾 身', '崔 恕', 8), ('奋 不 顾 身', '崔 子 格', 6)]","[('奋 不 顾 身', '崔 子 格', 6), ('奋 不 顾 身', '恋 爱 达 人 秀', 7), ('奋 不 顾 身', '崔 恕', 8), ('恋 爱 达 人 秀', '崔 子 格', 6)]"
28,杨帆，泉城之女，自幼偏科近代史，大学期间开始民国纪实文学创作，目前已出版图书作品十部400万字，其中军政题材作品主要有：《国民党高官败逃台湾真相》《中共早期领导人的最后岁月》《中国军阀的最后结局》《民国军阀档案》《国民党去台高官大结局》 《三大战役全纪录》等,"[('中 国 军 阀 的 最 后 结 局', '杨 帆', 11), ('国 民 党 高 官 败 逃 台 湾 真 相', '杨 帆', 11)]","[('中 国 军 阀 的 最 后 结 局', '杨 帆', 11), ('中 共 早 期 领 导 人 的 最 后 岁 月', '杨 帆', 11)]"
29,《红尘恋歌》是邓超安以轩版本的《倚天屠龙记》的片尾曲，由熙道作词作曲，安以轩丛浩楠演唱,"[('红 尘 恋 歌', '熙 道', 9), ('红 尘 恋 歌', '邓 超 安', 6), ('倚 天 屠 龙 记', '邓 超 安', 6), ('红 尘 恋 歌', '熙 道', 8)]","[('红 尘 恋 歌', '熙 道', 9), ('红 尘 恋 歌', '熙 道', 8), ('红 尘 恋 歌', '丛 浩 楠', 6), ('红 尘 恋 歌', '安 以 轩', 6)]"
30,《白米酒》是巴奈演唱的歌曲，作词、作曲都是部落流传歌谣，所属专辑是《勇士与稻穗》,"[('白 米 酒', '勇 士 与 稻 穗', 7), ('白 米 酒', '巴 奈', 6), ('勇 士 与 稻 穗', '巴 奈', 6)]","[('白 米 酒', '部 落 流 传 歌 谣', 9), ('白 米 酒', '勇 士 与 稻 穗', 7), ('白 米 酒', '巴 奈', 6), ('白 米 酒', '部 落 流 传 歌 谣', 8)]"
31,《洪门大佬》是2002年中国华侨出版社出版的图书，作者是祝广义 潘毅,"[('祝 广 义', '中 国', 1), ('洪 门 大 佬', '中 国 华 侨 出 版 社', 12), ('潘 毅', '中 国', 1), ('洪 门 大 佬', '祝 广 义', 11)]","[('洪 门 大 佬', '潘 毅', 11), ('洪 门 大 佬', '中 国 华 侨 出 版 社', 12), ('潘 毅', '中 国', 1), ('洪 门 大 佬', '祝 广 义', 11)]"
32,只是杨臣刚之后再也没有经典歌曲，仿佛消失了起来，不过《老鼠爱大米》让杨臣刚赚了不少钱，现在的杨臣刚仍然身价不菲郑源的《包容》《一万个理由》《不要在寂寞的时候说爱我》《红尘情歌》曾经也是年度红歌，不过这些歌曲和那些所谓的神曲不一样的是，这些歌即便是现在仍然是经典歌曲,"[('老 鼠 爱 大 米', '杨 臣 刚', 6), ('不 要 在 寂 寞 的 时 候 说 爱 我', '杨 臣 刚', 6), ('红 尘 情 歌', '杨 臣 刚', 6)]","[('老 鼠 爱 大 米', '杨 臣 刚', 11), ('老 鼠 爱 大 米', '杨 臣 刚', 6), ('一 万 个 理 由', '郑 源', 6), ('包 容', '郑 源', 6)]"
33,李美庭，男，壮族，1974年9月生，武鸣县陆斡镇人，2001年1月加入中国共产党，1998年7月参加工作，广西民族大学行政管理学院行政管理专业毕业，研究生学历，中学二级教师,"[('李 美 庭', '广 西 民 族 大 学', 5), ('李 美 庭', '壮 族', 3), ('李 美 庭', '1974 年 9 月', 4), ('李 美 庭', '武 鸣 县 陆 斡 镇', 2)]","[('李 美 庭', '广 西 民 族 大 学', 5), ('李 美 庭', '1974 年 9 月', 4), ('李 美 庭', '武 鸣 县 陆 斡 镇', 2), ('李 美 庭', '壮 族', 3)]"
34,《我的爱情日记》是1990年上映的中国剧情电视剧，由吴天戈执导，苏瑾 、孙思翰等主演,"[('我 的 爱 情 日 记', '吴 天 戈', 14), ('我 的 爱 情 日 记', '1990 年', 16)]","[('我 的 爱 情 日 记', '吴 天 戈', 14), ('我 的 爱 情 日 记', '孙 思 翰', 13), ('我 的 爱 情 日 记', '苏 瑾', 13), ('我 的 爱 情 日 记', '1990 年', 16)]"
35,《转山》是丁于和凤凰传奇的杨魏玲花合唱的歌曲，收录在丁于的专辑《重生》，原词来自仓央嘉措的诗歌《那一世》,"[('转 山', '重 生', 7)]","[('转 山', '重 生', 7), ('转 山', '杨 魏 玲 花', 6), ('转 山', '仓 央 嘉 措', 8), ('转 山', '丁 于', 6)]"
36,《失梦招领》是刘家泽作词，李行亮作曲并演唱的一首音乐作品，该作品收录于李行亮2016年所发行的专辑《试梦人》中,"[('失 梦 招 领', '试 梦 人', 7), ('失 梦 招 领', '李 行 亮', 9)]","[('失 梦 招 领', '刘 家 泽', 8), ('失 梦 招 领', '李 行 亮', 6), ('失 梦 招 领', '试 梦 人', 7), ('失 梦 招 领', '李 行 亮', 9)]"
37,《霍东阁》是“精武三部曲”的第三部，由徐小明执导，钱小豪、刘志荣、郑佩佩领衔主演,"[('霍 东 阁', '钱 小 豪', 13), ('霍 东 阁', '徐 小 明', 14), ('霍 东 阁', '刘 志 荣', 13), ('霍 东 阁', '郑 佩 佩', 13)]","[('霍 东 阁', '钱 小 豪', 13), ('霍 东 阁', '徐 小 明', 14), ('霍 东 阁', '刘 志 荣', 13), ('霍 东 阁', '郑 佩 佩', 13)]"
38,7月2日，由王亨里执导，焦恩俊，朴诗妍，黄海波等主演的古装爱情剧《凤求凰》播出，童蕾扮演卫青的姐姐“卫子夫”,"[('凤 求 凰', '王 亨 里', 14)]","[('凤 求 凰', '黄 海 波', 13), ('凤 求 凰', '焦 恩 俊', 13), ('凤 求 凰', '朴 诗 妍', 13), ('凤 求 凰', '王 亨 里', 14)]"
39,王冬，男，汉族，1968年12月出生，湖南株洲人，大学文化，工学学士，1990年7月参加工作，1995年12月加入中国共产党，现任中共株洲市芦淞区人民政府党组成员、副区长,"[('王 冬', '汉 族', 3), ('王 冬', '中 国', 1), ('王 冬', '1968 年 12 月', 4), ('王 冬', '湖 南 株 洲', 2)]","[('王 冬', '汉 族', 3), ('王 冬', '中 国', 1), ('王 冬', '1968 年 12 月', 4), ('王 冬', '湖 南 株 洲', 2)]"
40,《围城》是徐子崴演唱的歌曲，由徐子淳作词，徐子崴作曲，收录在2009年9月发行的专辑《爱情正在直播》（内地版）中,"[('围 城', '徐 子 崴', 8), ('围 城', '徐 子 崴', 9)]","[('围 城', '徐 子 崴', 6), ('围 城', '徐 子 淳', 8), ('围 城', '爱 情 正 在 直 播', 7), ('围 城', '徐 子 崴', 9)]"
41,《一生恋再恋》是由陈少琪作词、李明德作曲、张智霖演唱的一首歌曲，收录在张智霖1992年发行的音乐专辑《逗我开心吧》中,"[('一 生 恋 再 恋', '陈 少 琪', 8), ('一 生 恋 再 恋', '逗 我 开 心 吧', 7), ('一 生 恋 再 恋', '张 智 霖', 6), ('一 生 恋 再 恋', '李 明 德', 9)]","[('一 生 恋 再 恋', '陈 少 琪', 8), ('一 生 恋 再 恋', '逗 我 开 心 吧', 7), ('一 生 恋 再 恋', '李 明 德', 9), ('一 生 恋 再 恋', '张 智 霖', 6)]"
42,歌曲《未来在等着现在的我》是2016中国好声音全国城市海选 (香港区) 宣传歌曲，龙鱼指甲作词，徐浩编曲， 罗力威、余枫演唱1,"[('未 来 在 等 着 现 在 的 我', '余 枫', 6), ('未 来 在 等 着 现 在 的 我', '罗 力 威', 6), ('未 来 在 等 着 现 在 的 我', '龙 鱼 指 甲', 8)]","[('未 来 在 等 着 现 在 的 我', '罗 力 威', 6), ('未 来 在 等 着 现 在 的 我', '徐 浩', 9), ('未 来 在 等 着 现 在 的 我', '余 枫', 6), ('未 来 在 等 着 现 在 的 我', '龙 鱼 指 甲', 8)]"
43,《知情者》是曾晓欣执导，柳云龙、马跃、陈丽娜主演的剧情连续剧,"[('知 情 者', '马 跃', 13), ('知 情 者', '陈 丽 娜', 13), ('知 情 者', '曾 晓 欣', 14), ('知 情 者', '柳 云 龙', 13)]","[('知 情 者', '马 跃', 13), ('知 情 者', '陈 丽 娜', 13), ('知 情 者', '曾 晓 欣', 14), ('知 情 者', '柳 云 龙', 13)]"
44,《海虞诗苑海虞诗苑续编》是2013年4月1日上海古籍出版社出版的图书，作者是王应奎、瞿绍基、罗时进,"[('海 虞 诗 苑', '瞿 绍 基', 11), ('海 虞 诗 苑', '王 应 奎', 11), ('海 虞 诗 苑', '上 海 古 籍 出 版 社', 12), ('海 虞 诗 苑', '罗 时 进', 11)]","[('海 虞 诗 苑 海 虞 诗 苑 续 编', '罗 时 进', 11), ('海 虞 诗 苑 海 虞 诗 苑 续 编', '瞿 绍 基', 11), ('海 虞 诗 苑 海 虞 诗 苑 续 编', '王 应 奎', 11), ('海 虞 诗 苑 海 虞 诗 苑 续 编', '上 海 古 籍 出 版 社', 12)]"
45,《悍妇憨夫》是由导演解芳执导，宋丹丹、梁天主演的一部喜剧电影，于2008年出品,"[('悍 妇 憨 夫', '宋 丹 丹', 13), ('悍 妇 憨 夫', '梁 天', 13), ('悍 妇 憨 夫', '解 芳', 14)]","[('悍 妇 憨 夫', '宋 丹 丹', 13), ('悍 妇 憨 夫', '梁 天', 13), ('悍 妇 憨 夫', '2008 年', 16), ('悍 妇 憨 夫', '解 芳', 14)]"
46,年芸（1982年－），中国江苏省扬州市人，毕业于扬州市体校，为退役女子游泳运动员,"[('年 芸', '扬 州 市 体 校', 5), ('年 芸', '中 国', 1), ('年 芸', '1982 年', 4), ('年 芸', '江 苏 省 扬 州 市', 2)]","[('年 芸', '中 国', 1), ('年 芸', '江 苏 省 扬 州 市', 2), ('年 芸', '1982 年', 4), ('年 芸', '扬 州 市 体 校', 5)]"
47,王万修，男，汉族，1956年9月生，湖北枝江市人，1978年11月参加工作，1978年4月加入中国共产党，在职大专,"[('王 万 修', '湖 北 枝 江 市', 2), ('王 万 修', '汉 族', 3), ('王 万 修', '1956 年 9 月', 4)]","[('王 万 修', '湖 北 枝 江 市', 2), ('王 万 修', '汉 族', 3), ('王 万 修', '中 国', 1), ('王 万 修', '1956 年 9 月', 4)]"
48,《华人万岁》是王力宏演唱的一首歌曲，由杨立钛作词，王力宏作曲，收录在王力宏2007年发行的专辑《改变自己》中1,"[('华 人 万 岁', '王 力 宏', 9)]","[('华 人 万 岁', '改 变 自 己', 7), ('华 人 万 岁', '王 力 宏', 6), ('华 人 万 岁', '杨 立 钛', 8), ('华 人 万 岁', '王 力 宏', 9)]"
49,基本信息歌曲：情丝风缕  歌手 ：杨钰莹  作词：吴颂今  作曲：韩乘光歌曲介绍《情丝几缕》是杨钰莹首张专辑《为爱祝福》里的一首歌,"[('情 丝 风 缕', '为 爱 祝 福', 7), ('情 丝 风 缕', '吴 颂 今', 8)]","[('情 丝 几 缕', '为 爱 祝 福', 7), ('情 丝 几 缕', '吴 颂 今', 8), ('情 丝 几 缕', '韩 乘 光', 9), ('情 丝 几 缕', '杨 钰 莹', 6)]"
50,杨幂工作室差不多承包了《三生三世十里桃花》大半个剧组的角色，迪丽热巴饰演凤九、高伟光饰演东华、张彬彬饰演离镜、刘芮麟饰演子阑，以及新签约的2名艺人也有份出演,"[('三 生 三 世 十 里 桃 花', '杨 幂 工 作 室', 0)]","[('三 生 三 世 十 里 桃 花', '张 彬 彬', 13), ('三 生 三 世 十 里 桃 花', '迪 丽 热 巴', 13), ('三 生 三 世 十 里 桃 花', '高 伟 光', 13), ('三 生 三 世 十 里 桃 花', '刘 芮 麟', 13)]"
51,《友共情》是古巨基演唱的一首歌曲，由周礼茂作词，陈光荣作曲，收录在专辑《欢乐今宵》中,"[('友 共 情', '古 巨 基', 6), ('友 共 情', '欢 乐 今 宵', 7), ('友 共 情', '周 礼 茂', 8), ('友 共 情', '陈 光 荣', 9)]","[('友 共 情', '欢 乐 今 宵', 7), ('友 共 情', '周 礼 茂', 8), ('友 共 情', '古 巨 基', 6), ('友 共 情', '陈 光 荣', 9)]"
52,周孜予，女，汉族，1980年6月出生，黑龙江省绥化市人，1998年加入中国共产党，2005年7月参加工作，博士研究生，东北林业大学文法学院讲师，法学一级学科秘书,"[('周 孜 予', '黑 龙 江 省 绥 化 市', 2), ('周 孜 予', '汉 族', 3), ('周 孜 予', '中 国', 1)]","[('周 孜 予', '1980 年 6 月', 4), ('周 孜 予', '黑 龙 江 省 绥 化 市', 2), ('周 孜 予', '汉 族', 3), ('周 孜 予', '中 国', 1)]"
53,刘学勃，男，汉族，1926年生，河北蠡县人，自10岁习武练功，曾拜当地著名拳师张永和为师，北京解放后调入北京工作，又拜著名武术家“花鞭”吴斌楼老师习武练功，习武60余载,"[('张 永 和', '汉 族', 3), ('刘 学 勃', '汉 族', 3), ('刘 学 勃', '河 北 蠡 县', 2), ('刘 学 勃', '1926 年', 4)]","[('张 永 和', '汉 族', 3), ('刘 学 勃', '汉 族', 3), ('刘 学 勃', '河 北 蠡 县', 2), ('刘 学 勃', '1926 年', 4)]"
54,子嗣陈长琦，陈独秀的长孙，也即陈松年的长子陈长琦，1947年出生，现任合肥工业大学机械学院院长，党总支书记，教授，中国真空学会理事,"[('陈 长 琦', '1947 年', 4)]","[('陈 长 琦', '1947 年', 4), ('陈 长 琦', '中 国', 1), ('陈 独 秀', '中 国', 1), ('陈 松 年', '中 国', 1)]"
55,今天为大家推荐一部电影《新上海滩》，上海滩电影版本很多，有黄晓明版、周润发版等，今天为大家推荐的是1996年上映的，由张国荣、刘德华、宁静等主演的新上海滩,"[('新 上 海 滩', '黄 晓 明', 13), ('新 上 海 滩', '宁 静', 13), ('新 上 海 滩', '张 国 荣', 13), ('新 上 海 滩', '刘 德 华', 13), ('新 上 海 滩', '1996 年', 16)]","[('上 海 滩', '周 润 发', 13), ('新 上 海 滩', '宁 静', 13), ('新 上 海 滩', '刘 德 华', 13), ('新 上 海 滩', '1996', 16)]"
56,由北京摩登视界文化传媒有限公司、北京摩天轮文化传媒有限公司和慈文传媒共同出品，著名导演孙皓指导，赵丽颖、郑恺领衔主演的2015最具话题性情感剧《实习生》目前正在火热拍摄中,"[('实 习 生', '孙 皓', 14)]","[('实 习 生', '北 京 摩 登 视 界 文 化 传 媒 有 限 公 司', 0), ('实 习 生', '赵 丽 颖', 13), ('实 习 生', '孙 皓', 14), ('实 习 生', '郑 恺', 13)]"
57,叶祖新，1984年7月8日生于浙江省衢州市，中国内地男演员，曾先后就读杭州演艺学院舞蹈系、中北英皇演艺专修学校,"[('叶 祖 新', '中 北 英 皇 演 艺 专 修 学 校', 5), ('叶 祖 新', '浙 江 省 衢 州 市', 2), ('叶 祖 新', '中 国', 1), ('叶 祖 新', '1984 年 7 月 8 日', 4)]","[('叶 祖 新', '英 皇 演 艺 专 修 学 校', 5), ('叶 祖 新', '1984 年 7 月 8 日', 4), ('叶 祖 新', '浙 江', 2), ('叶 祖 新', '1984 年', 4)]"
58,秦丽婷，女，1982年7月27日生于山西运城，毕业于中国传媒大学（原北京广播学院）,"[('秦 丽 婷', '1982 年 7 月 27 日', 4), ('秦 丽 婷', '中 国 传 媒 大 学', 5), ('秦 丽 婷', '山 西 运 城', 2)]","[('秦 丽 婷', '1982 年 7 月 27 日', 4), ('秦 丽 婷', '中 国 传 媒 大 学', 5), ('秦 丽 婷', '中 国', 1), ('秦 丽 婷', '山 西 运 城', 2)]"
59,寇振喜，男，汉族，1971年9月出生于新疆哈密市，毕业于新疆大学汉语言文学专业，在职教育大学本科学历，全国注册房产评估师、注册建造师和建筑经济师,"[('寇 振 喜', '新 疆 大 学', 5)]","[('寇 振 喜', '1971 年 9 月', 4), ('寇 振 喜', '新 疆 哈 密 市', 2), ('寇 振 喜', '汉 族', 3), ('寇 振 喜', '新 疆 大 学', 5)]"
60,《冰山上的来客》是戴冰执导的军事悬疑谍战片，由王洛勇、于荣光、努尔比亚等主演,"[('冰 山 上 的 来 客', '戴 冰', 14)]","[('冰 山 上 的 来 客', '戴 冰', 14), ('冰 山 上 的 来 客', '努 尔 比 亚', 13), ('冰 山 上 的 来 客', '于 荣 光', 13), ('冰 山 上 的 来 客', '王 洛 勇', 13)]"
